timestamp,temperature,humidity,distance,battery,distance_m,obstacle,low_battery,tempe_status
0,23.5,60.2,150.0,12.6,1.5,False,False,NORMAL
1,23.8,60.8,138.0,12.5,1.38,False,False,NORMAL
2,24.1,63.5,125.0,12.4,1.25,False,False,NORMAL
3,24.7,62.0,108.0,12.2,1.08,False,False,NORMAL
4,26.55,62.8,90.0,12.0,0.9,False,False,NORMAL
5,26.1,63.5,72.5,11.8,0.725,False,False,NORMAL
6,27.0,63.5,55.0,11.6,0.55,False,False,NORMAL
7,27.8,63.5,38.0,11.3,0.38,True,False,NORMAL
8,26.55,66.1,22.0,10.9,0.22,True,True,NORMAL
9,29.5,67.0,15.0,10.5,0.15,True,True,HOT
10,30.2,68.2,12.0,10.2,0.12,True,True,HOT
11,30.8,69.0,8.0,9.8,0.08,True,True,HOT
